2286b96,Troy Nechanicky,8 days ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
2ec7bfa,Troy Nechanicky,8 days ago,grade_functions.php: parse_file: if bad line, msg now shows contents of line instead of format msg. error_checking: if student not in course, new error type that tells upload.sendToErrorChecking not to launch modal, instead displays like file error (other types of errors not displayed in this case). upload.js: now displays all file errors on upload page. If detects errors for bad format (for not all lines) then displays proper format as first msg, then displays line errors. Also fixed upload page not updating if max updated to decimal. Also added additional comments for clarity.
b841249,Troy Nechanicky,8 days ago,added better test files for harold hodgins test course.
74d8e12,Troy Nechanicky,8 days ago,upload.php: changed field types to "text". Small issues caused by type "number", not worth effort to fix since not supporting mobile.
9b15e98,Troy Nechanicky,8 days ago,file_parse.php: error if empty file
983084c,Troy Nechanicky,8 days ago,upload.js: update max error and val now cleared after exiting modal
2c0c5ee,Sarah Johnston,9 days ago,Added more deployment notes to make ubuntu deployment smoother
deb70c4,Sarah Johnston,9 days ago,Changed comments on help.php to 'fixed spelling and grammar'
8550b46,Sarah Johnston,9 days ago,Added home.php, docs.php, and links to docs on PHP site
51a7c88,Troy Nechanicky,9 days ago,upload.php: standardized placeholders
e817c9a,Troy Nechanicky,9 days ago,upload.js: modal closes if all students removed from modal
7a4aebf,Troy Nechanicky,9 days ago,grade_functions.php: now gives error if new max <= current max
7e12b59,Troy Nechanicky,9 days ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
95d4e80,Troy Nechanicky,9 days ago,grade_functions.php and upload.js: made update max form only show on modal when grade > max and gradeitem does not allow for that
75d4429,Ben Douglas,9 days ago,thought .btn was on all buttons, instead i'll just assign it to all button elements instead
cee5b6b,Ben Douglas,9 days ago,adding border radius 0 to all buttons to be consistent across browsers
bcb7bef,Troy Nechanicky,9 days ago,file_parse.php: added check for file type. Error msg if not csv or txt
1b61ed2,Troy Nechanicky,9 days ago,index.php: logout now redirects to brightspace logout page and revokes credentials
e4a81ca,Sarah Johnston,10 days ago,Made CSS transition smoother for accordion
8170743,Sarah Johnston,10 days ago,Added course name and grade item name to report.php as requested by Mr.Brown
25852cb,Sarah Johnston,10 days ago,Redid help document. Too many spelling mistakes and images were outdated. Added link to php site
3f2dd68,Sarah Johnston,10 days ago,Changed accordion.js back to original, cleaned up css, made transition on open/close again
9b26003,Sarah Johnston,10 days ago,Now handles when user submits no grades or empty file. Returns error message to frontend. This error message is removed when a new form is added
f1e9b62,Sarah Johnston,10 days ago,When grade max is updated by user, now updates placeholders of both max grade forms
d0ee862,Sarah Johnston,11 days ago,File error handling added for php. Gives error message if no file is submitted
9c8a063,Sarah Johnston,11 days ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
49b9b9a,Sarah Johnston,11 days ago,Moved successful ids from upload_grades to error_checking. Added more error handling on PHP code
2f03d75,Sarah Johnston,11 days ago,Fixed select all on manual upload to insert forms by id instead of org_id. PHP now catches errors for invalid students.
f7d416e,Sarah Johnston,11 days ago,Added error checking for report.php and upload.php. If course and grade item are not given, redirects to course.php. If invalid course or grade_item given, also redirects to course.php
0f16043,Lucas Boulanger,11 days ago,Fixed bug where org defined id was being compared to Brightspace identifier, giving a student not found error when inputting grades manually -> added OrgMember.get_Identifier()
08ec648,Lucas Boulanger,11 days ago,app.py - better handling of out of sync when trying to display error page.
4243f17,Sarah Johnston,12 days ago,Fixed report.php. It now only shows students that had changed grades
bb88203,Sarah Johnston,12 days ago,Fixed bug in PHP where it just kept giving warning message and not submitting. It now submits
55c83cb,Sarah Johnston,12 days ago,Merge branch 'master' of https://github.com/Sjohnston3700/CP317_MLS_Project
bd90d93,Sarah Johnston,12 days ago,Made changes to UI
